alert_id,supplier_id,type,severity,description,status
1,2005,Certification,Medium,Certification expired,OPEN
2,2005,Certification,Medium,Certification expired,OPEN
3,2007,Certification,Medium,Certification expired,OPEN
4,2010,Certification,Medium,Certification expired,OPEN
5,2013,Certification,Medium,Certification expired,OPEN
6,2019,Certification,Medium,Certification expired,OPEN
7,2020,Certification,Medium,Certification expired,OPEN
8,2022,Certification,Medium,Certification expired,OPEN
9,2027,Certification,Medium,Certification expired,OPEN
10,2028,Certification,Medium,Certification expired,OPEN
11,2028,Certification,Medium,Certification expired,OPEN
12,2032,Certification,Medium,Certification expired,OPEN
13,2033,Certification,Medium,Certification expired,OPEN
14,2039,Certification,Medium,Certification expired,OPEN
15,2041,Certification,Medium,Certification expired,OPEN
16,2041,Certification,Medium,Certification expired,OPEN
17,2043,Certification,Medium,Certification expired,OPEN
18,2045,Certification,Medium,Certification expired,OPEN
19,2046,Certification,Medium,Certification expired,OPEN
20,2047,Certification,Medium,Certification expired,OPEN
21,2048,Certification,Medium,Certification expired,OPEN
22,2049,Certification,Medium,Certification expired,OPEN
23,2049,Certification,Medium,Certification expired,OPEN
24,2050,Certification,Medium,Certification expired,OPEN
25,2051,Certification,Medium,Certification expired,OPEN
26,2051,Certification,Medium,Certification expired,OPEN
27,2052,Certification,Medium,Certification expired,OPEN
28,2053,Certification,Medium,Certification expired,OPEN
29,2055,Certification,Medium,Certification expired,OPEN
30,2056,Certification,Medium,Certification expired,OPEN
31,2057,Certification,Medium,Certification expired,OPEN
32,2059,Certification,Medium,Certification expired,OPEN
33,2060,Certification,Medium,Certification expired,OPEN
34,2060,Certification,Medium,Certification expired,OPEN
35,2064,Certification,Medium,Certification expired,OPEN
36,2064,Certification,Medium,Certification expired,OPEN
37,2064,Certification,Medium,Certification expired,OPEN
38,2065,Certification,Medium,Certification expired,OPEN
39,2068,Certification,Medium,Certification expired,OPEN
40,2072,Certification,Medium,Certification expired,OPEN
41,2072,Certification,Medium,Certification expired,OPEN
42,2074,Certification,Medium,Certification expired,OPEN
43,2074,Certification,Medium,Certification expired,OPEN
44,2078,Certification,Medium,Certification expired,OPEN
45,2080,Certification,Medium,Certification expired,OPEN
46,2085,Certification,Medium,Certification expired,OPEN
47,2086,Certification,Medium,Certification expired,OPEN
48,2091,Certification,Medium,Certification expired,OPEN
49,2092,Certification,Medium,Certification expired,OPEN
50,2092,Certification,Medium,Certification expired,OPEN
51,2093,Certification,Medium,Certification expired,OPEN
52,2093,Certification,Medium,Certification expired,OPEN
53,2096,Certification,Medium,Certification expired,OPEN
54,2099,Certification,Medium,Certification expired,OPEN
