supplier_id,commodity_id,volume
2001,2,305.11026095618524
2001,3,178.7339885982318
2001,4,304.57876265621985
2002,6,191.80688092282242
2002,4,957.8089046084609
2003,1,616.7971799567738
2003,3,414.08883749871
2004,2,625.0946813348253
2005,4,634.93536144788
2005,2,978.3901614978145
2006,4,184.21938623573266
2006,5,158.83454353800374
2006,3,506.5598338223278
2007,3,959.6891609989765
2007,2,474.21290867572554
2008,3,150.66430292423138
2009,4,288.39919088096974
2009,1,626.7539890242033
2010,3,109.7998604231311
2011,2,404.8372229335117
2011,3,571.5065220995185
2012,4,225.6681262049916
2012,1,116.26385937681235
2012,2,720.742550540448
2013,6,939.031456626876
2013,1,505.6830071757986
2014,4,619.9969241269664
2014,2,221.1455351108683
2015,4,607.9279888224572
2015,2,660.3297217506079
2015,3,512.2908547992153
2016,2,825.050192360258
2016,6,593.3107444434365
2017,1,324.8826955306714
2017,6,654.1870213778269
2018,4,132.48072111847927
2018,2,859.2458433699313
2019,3,264.3348574094543
2020,4,439.37433928660073
2021,2,694.0566772207534
2021,5,721.0678247546895
2022,3,689.4650298370649
2022,5,565.92464073372
2022,6,162.53606732238967
2023,6,125.44255279174578
2023,1,161.17177392236206
2024,4,941.4591616992918
2024,1,579.4095461352297
2025,4,269.87056018946737
2025,5,679.5060798804965
2025,3,778.8753555186688
2026,4,375.8955637918007
2027,1,168.41582568738792
2028,6,774.2101309673861
2028,1,519.2474034099816
2029,3,433.13875979836445
2030,1,285.8086530004897
2030,3,168.56992812908905
2031,6,197.25879582751315
2032,4,982.6828980085596
2032,5,717.9068613079249
2032,6,927.9525049656977
2033,1,766.0697888431645
2033,3,234.93833642553034
2033,5,595.9784567682746
2034,4,335.13779026098473
2034,1,983.8500240281044
2034,6,935.2518757746614
2035,5,782.872237920103
2035,2,745.2361015232228
2036,1,940.512347483399
2036,4,872.1073940841044
2036,6,755.9657897673303
2037,6,784.7588780327762
2038,5,461.67933157105364
2038,1,727.5772173379069
2038,3,102.8015720426729
2039,2,420.8084745100666
2039,4,918.9851633811419
2040,5,666.704272869855
2041,4,162.73257617147132
2041,1,634.4595796146492
2041,2,638.7224138612221
2042,5,914.4190809375726
2042,1,464.48910880215493
2043,4,806.0116769127308
2044,2,489.68335627088334
2044,5,918.380789789443
2044,1,644.9311009278412
2045,4,443.8320037619013
2046,3,948.4863178896544
2047,4,326.47522812026756
2047,3,730.6534328342841
2047,5,586.2348463572099
2048,3,107.13958857507079
2049,4,495.20751201761624
2050,3,330.17067442533806
2050,2,822.4205676699687
2050,1,530.075803988999
2051,2,542.3906350152417
2052,2,458.19157546713024
2053,5,364.79411941982926
2053,2,193.11360050476122
2054,4,237.89207419789201
2054,6,102.29188587606333
2054,5,112.60320064702573
2055,2,800.0636291732578
2055,5,465.8345820793777
2055,3,682.9935698687331
2056,4,959.3034756762794
2056,2,925.7543706691031
2056,5,863.6925746964647
2057,1,572.3849545239054
2058,3,456.4028934655346
2058,1,756.9617449465741
2058,4,105.406779212952
2059,2,341.7851115156039
2059,4,827.4502123348421
2059,6,365.759914959863
2060,5,899.5477909558473
2060,1,265.94599813099006
2061,6,929.6814749354338
2061,4,351.0918014112738
2062,5,112.39076130194512
2063,4,587.4144740534563
2063,1,784.5717054401538
2064,6,483.0988319191901
2064,2,774.2777498666676
2065,1,482.18420433820575
2065,6,434.7299095009185
2065,3,419.77712045811
2066,1,449.75478241018817
2066,5,552.3910260459891
2066,3,249.06932602037966
2067,6,797.8167620715357
2067,2,984.0240621310115
2067,5,948.2904530021481
2068,5,861.8467350309658
2068,6,599.5410965405331
2068,2,705.9216140506807
2069,1,271.4854834503371
2070,2,523.5290915489971
2070,5,987.9155016281934
2070,4,953.4692566653986
2071,2,605.1936285331789
2071,6,929.8990755173096
2072,5,621.4244862675098
2073,3,147.69508840119056
2073,2,279.5459915247052
2074,3,626.4439764856793
2075,5,733.167397994573
2075,6,701.6105508305338
2076,4,406.34136168892053
2076,1,815.7710506650785
2077,5,158.38478510293754
2077,6,108.38715650510066
2078,4,470.6496315296014
2078,6,764.0632174683296
2079,5,492.57249623475457
2079,1,559.9412056742669
2079,6,974.5480221187926
2080,5,995.5470901052
2081,1,833.5793816600603
2082,2,190.58657279172758
2083,1,294.7852540415434
2083,2,527.9467938518535
2083,3,301.18879776973984
2084,1,164.16964776301154
2084,4,401.6336448787968
2084,3,649.0585781440002
2085,4,342.0028199913813
2085,2,164.81083165279296
2086,6,198.44462277422613
2087,6,229.24629808678836
2088,3,790.9994729325466
2088,5,361.26819735568137
2089,6,442.9733421641071
2090,6,408.30169470918713
2091,2,602.1207948193952
2092,3,594.8112773579048
2092,6,772.6438541956253
2092,2,762.4508122101847
2093,2,540.6084650306517
2093,4,585.6841990840155
2094,3,346.4287337422977
2094,6,395.5252510788311
2095,2,228.51395452270037
2096,5,447.40360992033595
2096,2,614.3878834527991
2096,6,573.221772956323
2097,6,831.2565737572046
2097,3,355.42165145218684
2097,5,575.0621165061635
2098,4,777.539651695882
2099,6,797.0295394135717
2100,3,601.2643180019263
