evidence_id,supplier_id,temporary_supplier_key,evidence_type,linked_entity_type,linked_entity_name,file_name,local_path,upload_date,document_status,extracted_text_preview,extracted_certificate_name,extracted_certificate_number,extracted_issuer,extracted_issue_date,extracted_expiry_date,extracted_scope_site,validation_status,validation_notes,review_status
1,,debug,Certification,Certification,RSPO,rspo_valid_blueriver.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\e225b2442e184298a2173536f88080d4_rspo_valid_blueriver.pdf,2026-05-04,Extracted,"RSPO Certificate Evidence
This sample certificate is generated for onboarding evidence upload testing.
CERTIFICATE NUMBER: RSPO-2026-BR-001
Issued by: Responsible Palm Certification Authority
Issue Date: 2026-01-15
Expiry Date: 2027-01-15
Supplier: BlueRiver Commodities Ltd
Scope: Palm Oil sourcing and trading operations in Indonesia
Status: Active and verified
Generated test evidence document for Supplier Risk Intelligence onboarding.",RSPO,RSPO-2026-BR-001,Responsible Palm Certification Authority,2026-01-15,2027-01-15,,Verified,Certificate evidence passed automated checks,Verified
2,,test,Certification,Certification,RSPO,rspo_valid_blueriver.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\6cc5d440878441918739b08877972d20_rspo_valid_blueriver.pdf,2026-05-04,Extracted,"RSPO Certificate Evidence
This sample certificate is generated for onboarding evidence upload testing.
CERTIFICATE NUMBER: RSPO-2026-BR-001
Issued by: Responsible Palm Certification Authority
Issue Date: 2026-01-15
Expiry Date: 2027-01-15
Supplier: BlueRiver Commodities Ltd
Scope: Palm Oil sourcing and trading operations in Indonesia
Status: Active and verified
Generated test evidence document for Supplier Risk Intelligence onboarding.",RSPO,RSPO-2026-BR-001,Responsible Palm Certification Authority,2026-01-15,2027-01-15,,Verified,Certificate evidence passed automated checks,Verified
3,,test,Certification,Certification,RSPO,rspo_valid_blueriver.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\bfcabbf555654b5e95fb47d2f7cf6c9a_rspo_valid_blueriver.pdf,2026-05-04,Extracted,"RSPO Certificate Evidence
This sample certificate is generated for onboarding evidence upload testing.
CERTIFICATE NUMBER: RSPO-2026-BR-001
Issued by: Responsible Palm Certification Authority
Issue Date: 2026-01-15
Expiry Date: 2027-01-15
Supplier: BlueRiver Commodities Ltd
Scope: Palm Oil sourcing and trading operations in Indonesia
Status: Active and verified
Generated test evidence document for Supplier Risk Intelligence onboarding.",RSPO,RSPO-2026-BR-001,Responsible Palm Certification Authority,2026-01-15,2027-01-15,,Verified,Certificate evidence passed automated checks,Verified
4,,GreenHarvest Trading Co.,Certification,Certification,RSPO,rspo_valid_blueriver.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\4ca955c0637e47ada21513d58ec57964_rspo_valid_blueriver.pdf,2026-05-04,Extracted,"RSPO Certificate Evidence
This sample certificate is generated for onboarding evidence upload testing.
CERTIFICATE NUMBER: RSPO-2026-BR-001
Issued by: Responsible Palm Certification Authority
Issue Date: 2026-01-15
Expiry Date: 2027-01-15
Supplier: BlueRiver Commodities Ltd
Scope: Palm Oil sourcing and trading operations in Indonesia
Status: Active and verified
Generated test evidence document for Supplier Risk Intelligence onboarding.",RSPO,RSPO-2026-BR-001,Responsible Palm Certification Authority,2026-01-15,2027-01-15,,Verified,Certificate evidence passed automated checks,Verified
5,,test,Certification,Certification,FSC,fsc_valid_cedar_grove.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\bc0bdc0340334ea4aebcb8d81b086a3a_fsc_valid_cedar_grove.pdf,2026-05-04,Extracted,"FSC Certificate Evidence
This sample certificate is generated for onboarding evidence upload testing.
Certificate Number: FSC-2026-CG-014
Issuer: Forest Stewardship Council Accredited Body
Issue Date: 2026-02-01
Expiry Date: 2028-02-01
Supplier: Cedar Grove Exports
Scope: Wood chain-of-custody operations in India
Status: Active and verified
Generated test evidence document for Supplier Risk Intelligence onboarding.",FSC,FSC-2026-CG-014,Forest Stewardship Council Accredited Body,2026-02-01,2028-02-01,Wood chain-of-custody operations in India,Verified,Certificate evidence passed automated checks,Verified
6,,GreenHarvest Trading Co.,Certification,Certification,RSPO,palm_oil__rspo__valid.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\9a2531df6e6a49f592c98c07c9744bea_palm_oil__rspo__valid.pdf,2026-05-04,Extracted,"RSPO Certification Document
Commodity: Palm Oil
Certificate Name: RSPO
Certificate Number: PT-001
Status: Verified
Issue Date: 2026-02-01
Expiry Date: 2028-02-01
This certificate is issued for supplier compliance validation.
Use this file to test certificate replacement upload in Auditing.",RSPO,PT-001,,2026-02-01,2028-02-01,,Verified,Certificate evidence passed automated checks,Verified
7,,BlueRiver Cocoa Exports,Certification,Certification,Fairtrade,cocoa__fairtrade__valid.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\4661bda8d6f94b02bd357b4e2aed08ab_cocoa__fairtrade__valid.pdf,2026-05-04,Extracted,"Fairtrade Certification Document
Commodity: Cocoa
Certificate Name: Fairtrade
Certificate Number: CC-002
Status: Verified
Issue Date: 2026-02-01
Expiry Date: 2028-02-01
This certificate is issued for supplier compliance validation.
Use this file to test certificate replacement upload in Auditing.",Fairtrade,CC-002,,2026-02-01,2028-02-01,,Verified,Certificate evidence passed automated checks,Verified
8,,ui-test,Certification,Certification,Fairtrade,fairtrade_valid_summit_leaf.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\2937e90318394b20a13d3376ff8d88e7_fairtrade_valid_summit_leaf.pdf,2026-05-04,Extracted,"Fairtrade Certificate Evidence
This sample certificate is generated for onboarding evidence upload testing.
Certificate No: FAIR-2026-SL-022
Certification Body: Fairtrade International Assurance
Issue Date: 2026-03-10
Expiry Date: 2027-03-10
Supplier: Summit Leaf Trading Pte Ltd
Scope: Coffee and cocoa trading operations
Status: Active and verified
Generated test evidence document for Supplier Risk Intelligence onboarding.",Fairtrade,FAIR-2026-SL-022,Fairtrade International Assurance,2026-03-10,2027-03-10,Coffee and cocoa trading operations,Verified,Certificate evidence passed automated checks,Verified
9,,ui-test,Certification,Certification,RSPO,palm_oil__rspo__valid.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\13c64dc5fdbd45fab6fbd27348b7bbac_palm_oil__rspo__valid.pdf,2026-05-04,Extracted,"RSPO Certification Document
Commodity: Palm Oil
Certificate Name: RSPO
Certificate Number: PT-001
Status: Verified
Issue Date: 2026-02-01
Expiry Date: 2028-02-01
This certificate is issued for supplier compliance validation.
Use this file to test certificate replacement upload in Auditing.",RSPO,PT-001,RSPO Certification Body,2026-02-01,2028-02-01,Palm Oil supplier certification coverage,Verified,Certificate evidence passed automated checks,Verified
10,,BlueRiver Cocoa Exports,Certification,Certification,Fairtrade,05_fairtrade_coffee_verified.pdf,C:\Users\chait\OneDrive\Desktop\supplier-risk-intelligence-react\uploads\onboarding\evidence\c23861b2ab984424992b29314ccf62fb_05_fairtrade_coffee_verified.pdf,2026-05-04,Extracted,"Fairtrade Producer Certificate
Supplier Sustainability Evidence Document
Certificate Name: Fairtrade
Certificate Number: FT-SLP-2026-3365
Issued By: FLOCERT GmbH
Supplier: Summit Leaf Producers
Commodity: Coffee
Scope: Fairtrade coffee producer organization certification
Site: Antigua Grower Network, Guatemala
Issue Date: 2026-02-18
Expiry Date: 2027-02-17
Status: Active
Generated for onboarding evidence extraction tests. Use the matching certification row unless the filename says mismatch.",Fairtrade,FT-SLP-2026-3365,FLOCERT GmbH,2026-02-18,2027-02-17,"Fairtrade coffee producer organization certification; Site: Antigua Grower Network, Guatemala",Verified,Certificate evidence passed automated checks,Verified
